id;name;semesters;title;credits
1;Chips;FIFTH;Automotive Tactics architectures;96665
2;Strategist SDD;TENTH;compressing;31692
3;Pants Maryland;SECOND;Director Concrete Bedfordshire;87737
4;program;SEVENTH;redundant;81011
5;HDD;SECOND;deposit;70196
6;auxiliary Human;EIGHTH;North Dakota Garden;46559
7;Wallis and Futuna;EIGHTH;Computers Small Fresh Gloves back-end;12706
8;South Georgia and the South Sandwich Islands;TENTH;Intelligent Granite Shirt Peru deposit;72609
9;Strategist;SIXTH;mindshare Gorgeous;2535
10;Brand;NINTH;Enterprise-wide Benin;71459
